identifier	name	url	n_genes	n_coding_genes	source	license	genes	coding_genes
R-HSA-179812	GRB2 events in EGFR signaling	http://identifiers.org/reactome/R-HSA-179812	13	13	reactome		1839|1950|1956|2069|255324|2885|3265|374|3845|4893|6654|685|7039	1839|1950|1956|2069|255324|2885|3265|374|3845|4893|6654|685|7039
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	http://identifiers.org/reactome/R-HSA-1799339	114	112	reactome		10952|11224|116832|140032|140801|1650|200916|2197|23471|23478|23480|23521|254948|25873|28972|29927|3921|4736|51065|51121|55176|58477|60559|6122|6123|6124|6125|6126|6128|6129|6130|6132|6133|6134|6135|6136|6137|6138|6139|6141|6142|6143|6144|6146|6147|6152|6154|6155|6156|6157|6158|6159|6160|6161|6164|6165|6166|6167|6168|6169|6170|6171|6173|6175|6176|6181|6184|6185|6187|6188|6189|6191|6192|6193|6194|6201|6202|6203|6204|6205|6206|6207|6208|6209|6210|6217|6218|6222|6223|6224|6227|6228|6229|6230|6231|6232|6233|6234|6235|6726|6727|6728|6729|6730|6731|6745|6746|6747|6748|7311|9045|90701|9349|9789	10952|11224|116832|140032|140801|1650|200916|2197|23471|23478|23480|23521|25873|28972|29927|3921|4736|51065|51121|55176|58477|60559|6122|6123|6124|6125|6128|6129|6130|6132|6133|6134|6135|6136|6137|6138|6139|6141|6142|6143|6144|6146|6147|6152|6154|6155|6156|6157|6158|6159|6160|6161|6164|6165|6166|6167|6168|6169|6170|6171|6173|6175|6176|6181|6184|6185|6187|6188|6189|6191|6192|6193|6194|6201|6202|6203|6204|6205|6206|6207|6208|6209|6210|6217|6218|6222|6223|6224|6227|6228|6229|6230|6231|6232|6233|6234|6235|6726|6727|6728|6729|6730|6731|6745|6746|6747|6748|7311|9045|90701|9349|9789
R-HSA-180024	DARPP-32 events	http://identifiers.org/reactome/R-HSA-180024	24	24	reactome		1020|5141|5142|5143|5144|5499|5515|5516|5518|5519|5528|5530|5532|5533|5534|5566|5567|5568|5573|5575|5576|5577|801|84152	1020|5141|5142|5143|5144|5499|5515|5516|5518|5519|5528|5530|5532|5533|5534|5566|5567|5568|5573|5575|5576|5577|801|84152
R-HSA-180292	GAB1 signalosome	http://identifiers.org/reactome/R-HSA-180292	17	17	reactome		1445|1839|1950|1956|2069|2549|255324|2885|374|5290|5295|55824|5781|5829|6714|685|7039	1445|1839|1950|1956|2069|2549|255324|2885|374|5290|5295|55824|5781|5829|6714|685|7039
R-HSA-180336	SHC1 events in EGFR signaling	http://identifiers.org/reactome/R-HSA-180336	14	14	reactome		1839|1950|1956|2069|255324|2885|3265|374|3845|4893|6464|6654|685|7039	1839|1950|1956|2069|255324|2885|3265|374|3845|4893|6464|6654|685|7039
R-HSA-180534	Vpu mediated degradation of CD4	http://identifiers.org/reactome/R-HSA-180534	52	52	reactome		10197|10213|122706|143471|23198|5682|5683|5684|5685|5686|5687|5688|5689|5690|5691|5692|5693|5694|5695|5696|5698|5699|5700|5701|5702|5704|5705|5706|5707|5708|5709|5710|5711|5713|5714|5715|5716|5717|5718|5719|5720|5721|6233|6500|7311|7314|7316|7979|8945|920|9491|9861	10197|10213|122706|143471|23198|5682|5683|5684|5685|5686|5687|5688|5689|5690|5691|5692|5693|5694|5695|5696|5698|5699|5700|5701|5702|5704|5705|5706|5707|5708|5709|5710|5711|5713|5714|5715|5716|5717|5718|5719|5720|5721|6233|6500|7311|7314|7316|7979|8945|920|9491|9861
R-HSA-180585	Vif-mediated degradation of APOBEC3G	http://identifiers.org/reactome/R-HSA-180585	53	53	reactome		10197|10213|122706|143471|23198|5682|5683|5684|5685|5686|5687|5688|5689|5690|5691|5692|5693|5694|5695|5696|5698|5699|5700|5701|5702|5704|5705|5706|5707|5708|5709|5710|5711|5713|5714|5715|5716|5717|5718|5719|5720|5721|60489|6233|6923|7311|7314|7316|7979|8065|9491|9861|9978	10197|10213|122706|143471|23198|5682|5683|5684|5685|5686|5687|5688|5689|5690|5691|5692|5693|5694|5695|5696|5698|5699|5700|5701|5702|5704|5705|5706|5707|5708|5709|5710|5711|5713|5714|5715|5716|5717|5718|5719|5720|5721|60489|6233|6923|7311|7314|7316|7979|8065|9491|9861|9978
R-HSA-180689	APOBEC3G mediated resistance to HIV-1 infection	http://identifiers.org/reactome/R-HSA-180689	5	5	reactome		11168|3159|5478|60489|8815	11168|3159|5478|60489|8815
R-HSA-180746	Nuclear import of Rev protein	http://identifiers.org/reactome/R-HSA-180746	32	32	reactome		100101267|10762|1104|129401|23165|23225|23279|23511|23636|348995|3837|4869|4927|4928|53371|55706|55746|57122|5901|5903|6396|7175|79023|79902|8021|8086|81929|8480|9631|9688|9883|9972	100101267|10762|1104|129401|23165|23225|23279|23511|23636|348995|3837|4869|4927|4928|53371|55706|55746|57122|5901|5903|6396|7175|79023|79902|8021|8086|81929|8480|9631|9688|9883|9972
R-HSA-180897	Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization	http://identifiers.org/reactome/R-HSA-180897	3	3	reactome		291|292|293	291|292|293
R-HSA-180910	Vpr-mediated nuclear import of PICs	http://identifiers.org/reactome/R-HSA-180910	32	32	reactome		100101267|10762|11168|129401|23165|23225|23279|23511|23636|3159|348995|3836|4927|4928|53371|55706|55746|57122|5903|6396|7175|79023|79902|8021|8086|81929|8480|8815|9631|9688|9883|9972	100101267|10762|11168|129401|23165|23225|23279|23511|23636|3159|348995|3836|4927|4928|53371|55706|55746|57122|5903|6396|7175|79023|79902|8021|8086|81929|8480|8815|9631|9688|9883|9972
R-HSA-1810476	RIP-mediated NFkB activation via ZBP1	http://identifiers.org/reactome/R-HSA-1810476	17	17	reactome		11035|1147|148022|1660|28511|28512|3551|4615|4790|4791|4792|4793|5970|7098|81030|8517|8737	11035|1147|148022|1660|28511|28512|3551|4615|4790|4791|4792|4793|5970|7098|81030|8517|8737
R-HSA-181429	Serotonin Neurotransmitter Release Cycle	http://identifiers.org/reactome/R-HSA-181429	17	17	reactome		10497|10815|22999|5864|6571|6616|6804|6812|6844|6853|6854|6857|8224|8497|8499|8500|8541	10497|10815|22999|5864|6571|6616|6804|6812|6844|6853|6854|6857|8224|8497|8499|8500|8541
R-HSA-181430	Norepinephrine Neurotransmitter Release Cycle	http://identifiers.org/reactome/R-HSA-181430	17	17	reactome		10497|10815|22999|4128|5864|6571|6580|6582|6616|6804|6812|6844|6857|8497|8499|8500|8541	10497|10815|22999|4128|5864|6571|6580|6582|6616|6804|6812|6844|6857|8497|8499|8500|8541
R-HSA-182218	Nef Mediated CD8 Down-regulation	http://identifiers.org/reactome/R-HSA-182218	7	7	reactome		1173|1175|160|161|163|51606|926	1173|1175|160|161|163|51606|926
R-HSA-182971	EGFR downregulation	http://identifiers.org/reactome/R-HSA-182971	31	31	reactome		10252|10253|10254|1839|1950|1956|2060|2069|255324|2885|29924|30011|374|5774|5782|5796|58513|6233|6455|6456|6457|685|7039|7311|7314|7316|8027|867|8874|9146|998	10252|10253|10254|1839|1950|1956|2060|2069|255324|2885|29924|30011|374|5774|5782|5796|58513|6233|6455|6456|6457|685|7039|7311|7314|7316|8027|867|8874|9146|998
R-HSA-1834941	STING mediated induction of host immune responses	http://identifiers.org/reactome/R-HSA-1834941	4	4	reactome		340061|3428|51428|6737	340061|3428|51428|6737
R-HSA-1834949	Cytosolic sensors of pathogen-associated DNA	http://identifiers.org/reactome/R-HSA-1834949	22	22	reactome		10621|10622|10623|11128|171568|2547|27297|4361|51082|51728|5434|5435|5437|5440|5441|55703|55718|5591|661|7520|84265|9533	10621|10622|10623|11128|171568|2547|27297|4361|51082|51728|5434|5435|5437|5440|5441|55703|55718|5591|661|7520|84265|9533
R-HSA-1839117	Signaling by cytosolic FGFR1 fusion mutants	http://identifiers.org/reactome/R-HSA-1839117	18	18	reactome		11052|11064|11116|1523|26127|2885|399687|5290|5295|613|6772|6774|6776|6777|7750|8805|9208|9846	11052|11064|11116|1523|26127|2885|399687|5290|5295|613|6772|6774|6776|6777|7750|8805|9208|9846
R-HSA-1839120	Signaling by FGFR1 amplification mutants	http://identifiers.org/reactome/R-HSA-1839120	1	1	reactome		2260	2260
R-HSA-1839122	Signaling by activated point mutants of FGFR1	http://identifiers.org/reactome/R-HSA-1839122	11	11	reactome		2246|2247|2249|2250|2251|2253|2254|2260|26281|8074|8822	2246|2247|2249|2250|2251|2253|2254|2260|26281|8074|8822
R-HSA-1839128	FGFR4 mutant receptor activation	http://identifiers.org/reactome/R-HSA-1839128	1	1	reactome		2264	2264
R-HSA-1839130	Signaling by activated point mutants of FGFR3	http://identifiers.org/reactome/R-HSA-1839130	12	12	reactome		2246|2247|2249|2250|2253|2254|2261|26281|8074|8817|8822|8823	2246|2247|2249|2250|2253|2254|2261|26281|8074|8817|8822|8823
R-HSA-1855167	Synthesis of pyrophosphates in the cytosol	http://identifiers.org/reactome/R-HSA-1855167	10	10	reactome		11163|11165|117283|170685|23262|3705|55190|64768|9677|9807	11163|11165|117283|170685|23262|3705|55190|64768|9677|9807
R-HSA-1855183	Synthesis of IP2, IP, and Ins in the cytosol	http://identifiers.org/reactome/R-HSA-1855183	14	14	reactome		27124|3612|3613|3628|3631|3632|3633|4952|51477|55586|66036|8821|8867|9108	27124|3612|3613|3628|3631|3632|3633|4952|51477|55586|66036|8821|8867|9108
R-HSA-1855191	Synthesis of IPs in the nucleus	http://identifiers.org/reactome/R-HSA-1855191	4	4	reactome		253430|51447|64768|9807	253430|51447|64768|9807
R-HSA-1855204	Synthesis of IP3 and IP4 in the cytosol	http://identifiers.org/reactome/R-HSA-1855204	26	26	reactome		113026|122618|23007|23236|27124|3633|3635|3636|3705|3706|3707|4952|51196|5330|5331|5332|5333|5335|5336|5728|801|80271|84812|8867|89869|9651	113026|122618|23007|23236|27124|3633|3635|3636|3705|3706|3707|4952|51196|5330|5331|5332|5333|5335|5336|5728|801|80271|84812|8867|89869|9651
R-HSA-1855231	Synthesis of IPs in the ER lumen	http://identifiers.org/reactome/R-HSA-1855231	1	1	reactome		9562	9562
R-HSA-186763	Downstream signal transduction	http://identifiers.org/reactome/R-HSA-186763	29	29	reactome		1398|1399|2885|2886|2889|3265|3845|4690|4893|5154|5155|5156|5159|5290|5291|5295|5296|5335|5781|5921|6654|6714|6772|6774|6776|6777|6778|8440|9564	1398|1399|2885|2886|2889|3265|3845|4690|4893|5154|5155|5156|5159|5290|5291|5295|5296|5335|5781|5921|6654|6714|6772|6774|6776|6777|6778|8440|9564
R-HSA-186797	Signaling by PDGF	http://identifiers.org/reactome/R-HSA-186797	28	28	reactome		1282|1284|1285|1286|1287|1291|1292|1293|1297|1298|1299|131873|256076|5045|5154|5155|5156|5159|5327|5340|56034|5782|6696|7057|7058|7059|7060|80310	1282|1284|1285|1286|1287|1291|1292|1293|1297|1298|1299|131873|256076|5045|5154|5155|5156|5159|5327|5340|56034|5782|6696|7057|7058|7059|7060|80310
R-HSA-187024	NGF-independant TRKA activation	http://identifiers.org/reactome/R-HSA-187024	5	5	reactome		116|117|135|4914|4915	116|117|135|4914|4915
R-HSA-187042	TRKA activation by NGF	http://identifiers.org/reactome/R-HSA-187042	2	2	reactome		4803|4914	4803|4914
R-HSA-187577	SCF(Skp2)-mediated degradation of p27/p21	http://identifiers.org/reactome/R-HSA-187577	60	60	reactome		1017|1019|10197|10213|1026|1027|1163|5682|5683|5684|5685|5686|5687|5688|5689|5690|5691|5692|5693|5694|5695|5696|5698|5699|5700|5701|5702|5704|5705|5706|5707|5708|5709|5710|5711|5713|5714|5715|5716|5717|5718|5719|5720|5721|5753|595|6233|6500|6502|7311|7314|7316|7979|8454|890|8900|898|9134|9491|9861	1017|1019|10197|10213|1026|1027|1163|5682|5683|5684|5685|5686|5687|5688|5689|5690|5691|5692|5693|5694|5695|5696|5698|5699|5700|5701|5702|5704|5705|5706|5707|5708|5709|5710|5711|5713|5714|5715|5716|5717|5718|5719|5720|5721|5753|595|6233|6500|6502|7311|7314|7316|7979|8454|890|8900|898|9134|9491|9861
R-HSA-187706	Signalling to p38 via RIT and RIN	http://identifiers.org/reactome/R-HSA-187706	5	5	reactome		4803|4914|6014|6016|673	4803|4914|6014|6016|673
R-HSA-189085	Digestion of dietary carbohydrate	http://identifiers.org/reactome/R-HSA-189085	11	11	reactome		1118|11181|27159|276|277|278|279|280|3938|6476|8972	1118|11181|27159|276|277|278|279|280|3938|6476|8972
R-HSA-189200	Cellular hexose transport	http://identifiers.org/reactome/R-HSA-189200	21	21	reactome		11182|125206|144195|154091|155184|200010|26291|29988|55974|56606|6513|6514|6515|6517|6523|6524|6527|66035|81031|85414|91749	11182|125206|144195|154091|155184|200010|26291|29988|55974|56606|6513|6514|6515|6517|6523|6524|6527|66035|81031|85414|91749
R-HSA-189451	Heme biosynthesis	http://identifiers.org/reactome/R-HSA-189451	11	11	reactome		1352|1355|1371|210|211|212|2235|3145|5498|7389|7390	1352|1355|1371|210|211|212|2235|3145|5498|7389|7390
R-HSA-189483	Heme degradation	http://identifiers.org/reactome/R-HSA-189483	5	5	reactome		3162|3163|54657|644|645	3162|3163|54657|644|645
R-HSA-190322	FGFR4 ligand binding and activation	http://identifiers.org/reactome/R-HSA-190322	13	13	reactome		2246|2247|2249|2251|2253|2254|2264|26281|8074|8817|8822|8823|9965	2246|2247|2249|2251|2253|2254|2264|26281|8074|8817|8822|8823|9965
R-HSA-190370	FGFR1b ligand binding and activation	http://identifiers.org/reactome/R-HSA-190370	6	6	reactome		2246|2247|2248|2255|2260|27006	2246|2247|2248|2255|2260|27006
R-HSA-190371	FGFR3b ligand binding and activation	http://identifiers.org/reactome/R-HSA-190371	7	7	reactome		2246|2253|2254|2261|26281|8817|8822	2246|2253|2254|2261|26281|8817|8822
R-HSA-190372	FGFR3c ligand binding and activation	http://identifiers.org/reactome/R-HSA-190372	13	13	reactome		2246|2247|2249|2250|2253|2254|2261|2591|26281|8074|8817|8822|8823	2246|2247|2249|2250|2253|2254|2261|2591|26281|8074|8817|8822|8823
R-HSA-190373	FGFR1c ligand binding and activation	http://identifiers.org/reactome/R-HSA-190373	12	12	reactome		2246|2247|2249|2250|2251|2253|2254|2260|26281|3730|8074|8822	2246|2247|2249|2250|2251|2253|2254|2260|26281|3730|8074|8822
R-HSA-190374	FGFR1c and Klotho ligand binding and activation	http://identifiers.org/reactome/R-HSA-190374	3	3	reactome		2260|8074|9365	2260|8074|9365
R-HSA-190375	FGFR2c ligand binding and activation	http://identifiers.org/reactome/R-HSA-190375	13	13	reactome		2246|2247|2249|2250|2251|2253|2254|2263|26281|8074|8817|8822|8823	2246|2247|2249|2250|2251|2253|2254|2263|26281|8074|8817|8822|8823
R-HSA-190377	FGFR2b ligand binding and activation	http://identifiers.org/reactome/R-HSA-190377	10	10	reactome		143282|2246|2247|2248|2252|2255|2263|27006|83888|9982	143282|2246|2247|2248|2252|2255|2263|27006|83888|9982
R-HSA-190704	Oligomerization of connexins into connexons	http://identifiers.org/reactome/R-HSA-190704	3	3	reactome		2697|2705|2706	2697|2705|2706
R-HSA-190840	Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane	http://identifiers.org/reactome/R-HSA-190840	1	1	reactome		2697	2697
R-HSA-190861	Gap junction assembly	http://identifiers.org/reactome/R-HSA-190861	19	19	reactome		10052|10804|125111|127534|219770|2697|2700|2701|2702|2703|2705|2706|2707|2709|375519|57165|57369|81025|84694	10052|10804|125111|127534|219770|2697|2700|2701|2702|2703|2705|2706|2707|2709|375519|57165|57369|81025|84694
R-HSA-190872	Transport of connexons to the plasma membrane	http://identifiers.org/reactome/R-HSA-190872	1	1	reactome		2706	2706
R-HSA-190873	Gap junction degradation	http://identifiers.org/reactome/R-HSA-190873	10	10	reactome		1173|1211|1212|1213|1601|1759|1785|2697|4646|8218	1173|1211|1212|1213|1601|1759|1785|2697|4646|8218
R-HSA-1912399	Pre-NOTCH Processing in the Endoplasmic Reticulum	http://identifiers.org/reactome/R-HSA-1912399	6	6	reactome		23509|4851|4853|4854|4855|56983	23509|4851|4853|4854|4855|56983
R-HSA-1912408	Pre-NOTCH Transcription and Translation	http://identifiers.org/reactome/R-HSA-1912408	93	92	reactome		10046|121504|126961|128312|1387|1869|1871|192669|192670|1999|2033|22938|23112|255626|2648|26523|27161|27327|3012|3013|3014|3015|3017|3018|3020|3021|333932|3516|3725|4343|474382|4851|4853|4854|4855|51548|54145|554313|55534|55766|5584|57690|595|653604|7027|7029|7157|723790|8294|8331|8334|8335|8337|8338|8339|8340|8341|8342|8343|8344|8345|8346|8347|8348|8349|8350|8351|8352|8353|8354|8355|8356|8357|8358|8359|8360|8361|8362|8363|8364|8365|8366|8367|8368|8370|84441|85236|861|8850|8968|8970|94239|9794	10046|121504|126961|128312|1387|1869|1871|192669|192670|1999|2033|22938|23112|255626|2648|26523|27161|27327|3012|3013|3014|3015|3017|3018|3020|3021|333932|3516|3725|4343|474382|4851|4853|4854|4855|51548|554313|55534|55766|5584|57690|595|653604|7027|7029|7157|723790|8294|8331|8334|8335|8337|8338|8339|8340|8341|8342|8343|8344|8345|8346|8347|8348|8349|8350|8351|8352|8353|8354|8355|8356|8357|8358|8359|8360|8361|8362|8363|8364|8365|8366|8367|8368|8370|84441|85236|861|8850|8968|8970|94239|9794
R-HSA-1912420	Pre-NOTCH Processing in Golgi	http://identifiers.org/reactome/R-HSA-1912420	18	18	reactome		10402|10959|2683|3955|4242|4851|4853|4854|4855|487|488|489|5045|5870|5986|6400|6484|6487	10402|10959|2683|3955|4242|4851|4853|4854|4855|487|488|489|5045|5870|5986|6400|6484|6487
R-HSA-191273	Cholesterol biosynthesis	http://identifiers.org/reactome/R-HSA-191273	20	20	reactome		10654|1595|2222|2224|3156|3157|3422|39|3930|4047|4597|4598|50814|51478|6307|64801|6713|7108|91734|9453	10654|1595|2222|2224|3156|3157|3422|39|3930|4047|4597|4598|50814|51478|6307|64801|6713|7108|91734|9453
R-HSA-191650	Regulation of gap junction activity	http://identifiers.org/reactome/R-HSA-191650	3	3	reactome		2697|6714|7082	2697|6714|7082
R-HSA-191859	snRNP Assembly	http://identifiers.org/reactome/R-HSA-191859	52	52	reactome		100101267|10073|10419|10762|11218|1207|129401|22916|23165|23225|23279|23511|23636|25929|348995|4686|4927|4928|50628|51808|53371|54960|55706|55746|57122|5903|6396|6606|6607|6628|6632|6633|6634|6635|6636|6637|7175|79023|79084|79760|79833|79902|8021|8086|81929|8480|8487|9631|96764|9688|9883|9972	100101267|10073|10419|10762|11218|1207|129401|22916|23165|23225|23279|23511|23636|25929|348995|4686|4927|4928|50628|51808|53371|54960|55706|55746|57122|5903|6396|6606|6607|6628|6632|6633|6634|6635|6636|6637|7175|79023|79084|79760|79833|79902|8021|8086|81929|8480|8487|9631|96764|9688|9883|9972
R-HSA-192105	Synthesis of bile acids and bile salts	http://identifiers.org/reactome/R-HSA-192105	14	14	reactome		10499|114876|114880|114881|114883|1581|26031|5007|6256|8648|9023|9420|9885|9971	10499|114876|114880|114881|114883|1581|26031|5007|6256|8648|9023|9420|9885|9971
R-HSA-192456	Digestion of dietary lipid	http://identifiers.org/reactome/R-HSA-192456	7	7	reactome		1056|119548|1208|5406|5407|5408|8513	1056|119548|1208|5406|5407|5408|8513
R-HSA-192823	Viral mRNA Translation	http://identifiers.org/reactome/R-HSA-192823	92	90	reactome		11224|116832|140032|140801|200916|2197|23521|254948|25873|2926|3921|4736|51065|51121|5611|6122|6123|6124|6125|6126|6128|6129|6130|6132|6133|6134|6135|6136|6137|6138|6139|6141|6142|6143|6144|6146|6147|6152|6154|6155|6156|6157|6158|6159|6160|6161|6164|6165|6166|6167|6168|6169|6170|6171|6173|6175|6176|6181|6187|6188|6189|6191|6192|6193|6194|6201|6202|6203|6204|6205|6206|6207|6208|6209|6210|6217|6218|6222|6223|6224|6227|6228|6229|6230|6231|6232|6233|6234|6235|7311|9045|9349	11224|116832|140032|140801|200916|2197|23521|25873|2926|3921|4736|51065|51121|5611|6122|6123|6124|6125|6128|6129|6130|6132|6133|6134|6135|6136|6137|6138|6139|6141|6142|6143|6144|6146|6147|6152|6154|6155|6156|6157|6158|6159|6160|6161|6164|6165|6166|6167|6168|6169|6170|6171|6173|6175|6176|6181|6187|6188|6189|6191|6192|6193|6194|6201|6202|6203|6204|6205|6206|6207|6208|6209|6210|6217|6218|6222|6223|6224|6227|6228|6229|6230|6231|6232|6233|6234|6235|7311|9045|9349
R-HSA-192905	vRNP Assembly	http://identifiers.org/reactome/R-HSA-192905	2	2	reactome		3320|3843	3320|3843
R-HSA-193048	Androgen biosynthesis	http://identifiers.org/reactome/R-HSA-193048	11	11	reactome		1081|1586|3283|3284|3293|3972|51144|5443|6715|6716|79644	1081|1586|3283|3284|3293|3972|51144|5443|6715|6716|79644
R-HSA-193144	Estrogen biosynthesis	http://identifiers.org/reactome/R-HSA-193144	6	6	reactome		1588|3292|3294|441282|51170|51171	1588|3292|3294|441282|51170|51171
R-HSA-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	http://identifiers.org/reactome/R-HSA-193368	24	24	reactome		10005|10499|10998|11001|1109|1581|1582|1593|1645|1646|23600|3295|570|5740|6256|6342|6718|80270|8309|8644|8647|8648|9420|9971	10005|10499|10998|11001|1109|1581|1582|1593|1645|1646|23600|3295|570|5740|6256|6342|6718|80270|8309|8644|8647|8648|9420|9971
R-HSA-193634	Axonal growth inhibition (RHOA activation)	http://identifiers.org/reactome/R-HSA-193634	8	8	reactome		387|396|4099|4168|4804|4974|57142|84894	387|396|4099|4168|4804|4974|57142|84894
R-HSA-193648	NRAGE signals death through JNK	http://identifiers.org/reactome/R-HSA-193648	59	59	reactome		10018|100271715|10276|10451|10672|11214|121512|128272|1894|221472|2245|22899|23229|23263|23365|23370|25791|26084|26230|26574|27237|29|389337|4168|445328|4803|4804|50649|50650|54848|55160|55701|5599|572|57449|57580|5879|5924|6453|64857|6654|6655|7074|7204|7409|7410|7984|84033|84904|8874|89846|8997|9138|9181|9459|9500|9639|9826|9828	10018|100271715|10276|10451|10672|11214|121512|128272|1894|221472|2245|22899|23229|23263|23365|23370|25791|26084|26230|26574|27237|29|389337|4168|445328|4803|4804|50649|50650|54848|55160|55701|5599|572|57449|57580|5879|5924|6453|64857|6654|6655|7074|7204|7409|7410|7984|84033|84904|8874|89846|8997|9138|9181|9459|9500|9639|9826|9828
R-HSA-193670	p75NTR negatively regulates cell cycle via SC1	http://identifiers.org/reactome/R-HSA-193670	6	6	reactome		11108|3065|3066|4803|4804|8841	11108|3065|3066|4803|4804|8841
R-HSA-193681	Ceramide signalling	http://identifiers.org/reactome/R-HSA-193681	3	3	reactome		4803|4804|6610	4803|4804|6610
R-HSA-193692	Regulated proteolysis of p75NTR	http://identifiers.org/reactome/R-HSA-193692	11	11	reactome		23385|4790|4804|51107|55851|5663|5664|5970|6868|7189|83464	23385|4790|4804|51107|55851|5663|5664|5970|6868|7189|83464
R-HSA-193775	Synthesis of bile acids and bile salts via 24-hydroxycholesterol	http://identifiers.org/reactome/R-HSA-193775	14	14	reactome		10858|10998|11001|1109|1582|1593|1645|1646|23600|51302|5740|6718|80270|8644	10858|10998|11001|1109|1582|1593|1645|1646|23600|51302|5740|6718|80270|8644
R-HSA-193807	Synthesis of bile acids and bile salts via 27-hydroxycholesterol	http://identifiers.org/reactome/R-HSA-193807	15	15	reactome		10499|1109|1581|1582|1593|1645|1646|5740|6256|6718|80270|8644|8648|9420|9971	10499|1109|1581|1582|1593|1645|1646|5740|6256|6718|80270|8644|8648|9420|9971
R-HSA-193993	Mineralocorticoid biosynthesis	http://identifiers.org/reactome/R-HSA-193993	6	6	reactome		1081|1585|1589|3283|3284|3972	1081|1585|1589|3283|3284|3972
R-HSA-194002	Glucocorticoid biosynthesis	http://identifiers.org/reactome/R-HSA-194002	9	9	reactome		1584|1585|1586|1589|3283|3284|3290|3291|5443	1584|1585|1586|1589|3283|3284|3290|3291|5443
R-HSA-194306	Neurophilin interactions with VEGF and VEGFR	http://identifiers.org/reactome/R-HSA-194306	4	4	reactome		2321|3791|8828|8829	2321|3791|8828|8829
R-HSA-194313	VEGF ligand-receptor interactions	http://identifiers.org/reactome/R-HSA-194313	5	5	reactome		2277|5228|7422|7423|7424	2277|5228|7422|7423|7424
R-HSA-194840	Rho GTPase cycle	http://identifiers.org/reactome/R-HSA-194840	140	140	reactome		100271715|10144|10276|10395|10451|10672|10928|11214|1123|1124|115703|116984|116985|117289|121512|128272|143872|158763|171177|1894|2|201176|221472|2245|22899|23092|23221|23229|23263|23365|23370|23380|23433|23526|23779|257106|25791|26084|26230|2664|2665|27237|29|2909|29127|29984|343578|3633|387|388|389|389337|391|392|393|394|395|396|397|398|399|4168|445328|4649|4650|4952|4983|50649|50650|51291|51306|5296|54509|54848|55114|55160|55288|55701|55789|55843|57381|57449|57514|57522|57569|57580|57584|57636|58480|58504|5879|5880|5881|5924|613|64333|64411|6453|64857|6654|6655|7074|7204|7409|7410|79658|79822|7984|80728|83478|84033|84144|84904|84986|85360|8874|89839|89846|89941|8997|90627|9138|91614|9181|9322|93663|9411|94134|9459|9639|9743|9754|9824|9826|9828|9886|9901|9912|9938|998	100271715|10144|10276|10395|10451|10672|10928|11214|1123|1124|115703|116984|116985|117289|121512|128272|143872|158763|171177|1894|2|201176|221472|2245|22899|23092|23221|23229|23263|23365|23370|23380|23433|23526|23779|257106|25791|26084|26230|2664|2665|27237|29|2909|29127|29984|343578|3633|387|388|389|389337|391|392|393|394|395|396|397|398|399|4168|445328|4649|4650|4952|4983|50649|50650|51291|51306|5296|54509|54848|55114|55160|55288|55701|55789|55843|57381|57449|57514|57522|57569|57580|57584|57636|58480|58504|5879|5880|5881|5924|613|64333|64411|6453|64857|6654|6655|7074|7204|7409|7410|79658|79822|7984|80728|83478|84033|84144|84904|84986|85360|8874|89839|89846|89941|8997|90627|9138|91614|9181|9322|93663|9411|94134|9459|9639|9743|9754|9824|9826|9828|9886|9901|9912|9938|998
R-HSA-195253	Degradation of beta-catenin by the destruction complex	http://identifiers.org/reactome/R-HSA-195253	68	68	reactome		10197|10213|122706|139285|143471|1452|1499|23198|2932|324|5515|5516|5518|5519|5525|5526|5527|5528|5529|5682|5683|5684|5685|5686|5687|5688|5689|5690|5691|5692|5693|5694|5695|5696|5698|5699|5700|5701|5702|5704|5705|5706|5707|5708|5709|5710|5711|5713|5714|5715|5716|5717|5718|5719|5720|5721|6233|6500|7311|7314|7316|7979|8312|8454|8945|9491|9861|9978	10197|10213|122706|139285|143471|1452|1499|23198|2932|324|5515|5516|5518|5519|5525|5526|5527|5528|5529|5682|5683|5684|5685|5686|5687|5688|5689|5690|5691|5692|5693|5694|5695|5696|5698|5699|5700|5701|5702|5704|5705|5706|5707|5708|5709|5710|5711|5713|5714|5715|5716|5717|5718|5719|5720|5721|6233|6500|7311|7314|7316|7979|8312|8454|8945|9491|9861|9978
R-HSA-195399	VEGF binds to VEGFR leading to receptor dimerization	http://identifiers.org/reactome/R-HSA-195399	8	8	reactome		2277|2321|2324|3791|5228|7422|7423|7424	2277|2321|2324|3791|5228|7422|7423|7424
R-HSA-196025	Formation of annular gap junctions	http://identifiers.org/reactome/R-HSA-196025	9	9	reactome		1173|1211|1212|1213|1601|1759|1785|2697|8218	1173|1211|1212|1213|1601|1759|1785|2697|8218
R-HSA-196108	Pregnenolone biosynthesis	http://identifiers.org/reactome/R-HSA-196108	11	11	reactome		10948|112812|134429|147323|1583|2230|2232|231|6770|706|83930	10948|112812|134429|147323|1583|2230|2232|231|6770|706|83930
